origem,topico,arquivo,texto
training,wheat,0001372,ec rejects wheat export bids grants barley brussels march the european communitys cereal management committee rejected all bids to export free market soft wheat at todays weekly tender traders said the committee awarded tonnes of free market barley export licences at a maximum export refund of ecus per tonne
training,wheat,0004339,usda reports tonnes corn to unknown washington march the us agriculture department said private us exporters reported sales of tonnes of corn for delivery to unknown destinations during the marketing season the marketing year for corn began september this is the second day running that exporters have reported corn sales to unknown destinations yesterday they reported sales of tonnes to unknown
training,wheat,0005732,australian wheat area to fall forecaster says melbourne march australian wheat plantings are forecast to fall to mln hectares in from mln sown in australian wheat forecasters pty ltd awf said in its first preliminary crop forecast but there was no reason to expect australian production in would be less than the mln tonnes of last year the private forecaster said as crops in new south wales and queensland suffered from poor yields last season most of the fall in plantings was expected in western australia while state average yields would be assisted by growers sowing wheat on fallows and rest paddocks it said the main reason for a low western australia estimate was a poor profit outlook under cost credit and yield pressures but in the eastern states the wheat area should hold up provided that rainfall between now and june is not less than average awf said although some farmers were saying they intended to cut back wheat area by pct awf said this was unlikely since they needed cash flow and there were problems with alternative crops the lack of statutory marketing for oilseeds pulses and oats is a cause for concern if those crops are to comprise a high proportion of growers income awf said awfs state area forecasts in mln hectares with production in mln tonnes are as follows crop forecasts were not given for the new wheat year area crop queensland nsw victoria saustralia waustralia
training,wheat,0007320,india steps up countertrade deals new delhi march india is searching for noncommunist countertrade partners to help it cut its trade deficit and conserve foreign exchange wheat tobacco tea coffee jute engineering and electronic goods as well as minerals including iron ore are all on offer in return for crude oil petroleum products chemicals steel and machinery trade sources told reuters most of the impetus behind countertrade which began in comes from two state trading firms the state trading corp stc and the minerals and metals trading corp mmtc the two state trading corporations are free to use their buying power in respect to bulk commodities to promote indian exports a commerce ministry spokeswoman said adding that private firms are excluded from countertrading one trade source said india has targetted countries that depend on an indian domestic market recently opened to foreign imports but countertrade deals still make up only a small part of indias total trading and are likely to account for less than eight pct of the estimated billion dlrs in trade during the nine months ended december the sources said countertrade accounted for just five pct of indias billion dlrs in trade during fiscal ended march against almost nothing in official figures show however the figures exclude exchanges with the eastern bloc paid in nonconvertible indian rupees the sources said total trade with the soviet union involving swaps of agricultural produce and textiles for soviet arms and crude oil is estimated at billion dlrs in fiscal
training,wheat,0001355,ec rejects all free market wheat export offers at weekly tender traders blah blah blah
training,wheat,0003899,us export inspections in thous bushels soybeans wheat corn blah blah blah
training,wheat,0008468,shultz ussr trip fuels talk of eep wheat offer author by nelson graves reutersauthor washington april speculation the united states will offer subsidized wheat to the soviet union appears to have reached a new level of intensity in the runup to secretary of state george shultz visit later this month to moscow rumors of an impending deal have coursed through wheat markets since officials from the two countries held their customary semiannual grain talks in february moscows decision at that time to reenter the us corn market strengthened the perception of warming farm trade prospects shultz is set to arrive in moscow april shultz statement two weeks ago that he would not stand in the way of a wheat subsidy offer under the export enhancement program eep coupled with the announcement of his visit to moscow was interpreted by many grain trade representatives here as a clear signal that the reagan administration was preparing an offer administration officials in and out of the us agriculture department have been extremely tightlipped about the prospects of a subsidy offer but usda officials for the most part have abandoned the contention the proposal is dormant suggesting that an offer while not a done deal is a live possibility prominent us grain trade representatives many of whom asked not to be identified continue to maintain that an offer to subsidize four mln tonnes of wheat is imminent others who one month ago claimed a deal was not possible are saying they would not rule one out rep pat roberts rkan yesterday went so far as to predict a subsidy offer would be made within the next ten days to two weeks aides to roberts said he had spoken to republican leaders who had been in contact with administration officials richard fritz director of international marketing at us wheat associates said he was confident an export enhancement offer would be made by the middle of this month fritz also said he thought the value of the bonus would end up being close to the offer washington made peking earlier this year when usda approved subsidies to china of around dlrs per tonne on one mln tonnes of wheat some grain trade representatives say a fourmlntonne wheat subsidy offer might help stimulate more soviet purchases of us corn and open the door to us sales of soybeans as ever one of the crucial sticking points in a wheat deal would appear to be price last summer the administration took the controversial step of offering the soviets subsidized wheat but were embarrassed when moscow spurned the proposal on the grounds that the dlrpertonne subsidy still left us wheat prices far above world market prices the administrations decision to set the subsidy level up front instead of accepting bids from exporters appeared to be a means of controlling the price while attempting to dampen criticism grain trade sources said nonetheless the pricing procedure did not prevent shultz from saying the soviets were chortling because washington was offering soviet housewives cheaper grain than that available to us housewives the conventional wisdom among grain trade representatives here is that a general warming of relations between the two countries since last summer combined with continued hard times in the us grain belt would favor a subsidy offer in addition the ussr has made it clear it would consider buying us wheat if it were priced more competitively however observers have not forgotten the circumstances surrounding the administrations announcement of the wheat subsidy offer last summer up until the time of the announcment congressional and industry leaders were led to believe the white house had decided to expand the export enhancement program to include not only the soviets but also a much broader list of countries instead the administration scaled back the offer to include only the soviets that lastminute change of heart adds a measure of uncertainty even to the predictions of those most convinced that the administration will not now pass up the opportunity to sell four mln tonnes of wheat to the soviet union
training,wheat,0002164,us export inspections in thous bushels soybeans wheat corn blah blah blah
training,wheat,0009209,ccc accepts export bonus for wheat to sri lanka washington april the us agriculture department said it has accepted a bid for an export bonus to cover the sale of tonnes of hard red winter wheat to sri lanka a bonus of dlrs per tonne was awarded to continental grain co on the shipment scheduled for april melvin sims usda general sales manager said an additional tonnes of wheat are still available to sri lanka under the export enhancement program sims said
training,wheat,0003847,trade sees steady cornwheat export inspections chicago march the usdas weekly export inspection report is expected to show steady corn and wheat exports and lower soybean exports according to cbt floor traders forecasts traders projected soybean exports at mln to mln bushels down from mln bushels a week ago and mln bushels a year ago corn guesses ranged from mln to mln bushels compared with mln bushels a week ago and million bushels a year ago wheat guesses ranged from mln to mln bushels compared with mln bushels a week ago and mln bushels a year ago
training,wheat,0001764,ussr wheat bonus offer said still under debate washington march the reagan administration continues to debate whether to offer subsidized wheat to the soviet union but would need assurances from the soviets that they would buy the wheat before the subsidy offer would be made a senior us agriculture department official said i think it still is under active debate whether or not it would be advisable to make an the export enhancement offer to the soviets thomas kay administrator of the departments foreign agriculture service told reuters wed need some assurances from them the soviets that they would buy if offered the wheat under the subsidy plan he said kay called reports that such an offer was imminent premature the reagan administrations cabinetlevel economic policy council is set to meet today to discuss among other matters agricultural policy but is not expected to address a wheat subsidy offer to the soviet union administration officials said earlier
training,wheat,0002191,usda estimates canadian crops washington march the us agriculture department estimated canadas wheat crop at mln tonnes vs mln tonnes last month it estimated output at mln tonnes vs mln last month canadian coarse grain production is projected at mln tonnes vs mln tonnes last month production in is estimated at mln tonnes vs mln last month canadian wheat exports in are forecast at mln tonnes vs mln tonnes last month exports in are estimated at mln tonnes vs mln last month
training,wheat,0008002,weather hurting yugoslav wheat usda report washington march unfavorable late winter weather conditions in the main wheat growing areas of yugoslavia indicate dimmed prospects for the emerging winter wheat crop the us embassys agricultural officer in belgrade said the officer who travelled through an area from belgrade to subotica said in a field report dated march the wheat crop had been set back at least three weeks because of a cold spell that followed a period of warm weather he said unseasonably warm weather in late february that brought the wheat crop out of winter dormancy early was followed by three weeks of unusually cold weather damaging effects were seen in the fields most of which show stands with a yellowbrown cast indicating extensive leaf and possible root damage from repeated freezings he said the report said that since much of the early growth in february was from late seeding rather than from normal development his view was that the damage may be more extensive than some local observers say the most seriously affected fields were lateseeded fields on normal maize soils stands in these fields were thin and chances of recovery appeared less favorable he said however he said soil moisture conditions were favorable and many of the fields had already been topdressed which would aid recovery
training,wheat,0000514,ussr wheat bonus rumors persist despite denials washington march grain trade representatives continued to speculate that the reagan administration will offer subsidized wheat to the soviet union while us agriculture department officials said there was no substance to the reports its pure fiction said one senior official at usdas foreign agricultural service referring to the rumor that the administration would make an export enhancement offer to moscow in the next two to three weeks an aide to agriculture secretary richard lyng who asked not to be identified said there was nothing to substantiate the speculation which he said was started by somebody fanning the wheat market wheat futures strengthened today partly on the basis of the speculation one lobbyist with close connections to the reagan administration said a soviet trade team told private grain trade officials in new york last week that moscow would buy as much as four mln tonnes of us wheat much of it before midyear if it was competitively priced alexander ivlev an official with amtorg a soviet trading organization told reuters he had no information to substantiate the rumors of an imminent wheat subsidy offer but said that moscow would consider buying us wheat if it was competitively priced we dont care if it is eep what we the soviets are looking for is competitive prices ivlev said if they the administration are interested in selling it wheat they should find ways to do it
